date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1982-05-04,25.34375,25.609375,25.3125,25.5625
1982-05-05,25.625,25.71875,25.546875,25.609375
1982-05-06,25.796875,25.984375,25.78125,25.96875
1982-05-07,26.0625,26.09375,25.921875,26.078125
1982-05-10,26.0,26.109375,25.96875,26.03125
1982-05-11,25.9375,26.125,25.921875,26.078125
1982-05-12,26.0625,26.1875,25.859375,25.9375
1982-05-13,25.890625,25.953125,25.828125,25.84375
1982-05-14,25.921875,26.125,25.890625,26.03125
1982-05-17,26.0625,26.125,25.84375,25.859375
1982-05-18,25.8125,25.96875,25.734375,25.9375
1982-05-19,25.84375,25.921875,25.796875,25.796875
1982-05-20,25.890625,26.0625,25.890625,26.015625
1982-05-21,26.0,26.078125,25.96875,25.984375
1982-05-24,25.921875,26.015625,25.90625,25.96875
1982-05-25,25.890625,25.9375,25.828125,25.890625
1982-05-26,25.984375,26.015625,25.765625,25.765625
1982-05-27,25.734375,25.8125,25.71875,25.71875
1982-05-28,25.703125,25.796875,25.671875,25.703125
1982-06-01,25.625,25.625,25.375,25.40625
1982-06-02,25.46875,25.53125,25.390625,25.5
1982-06-03,25.5,25.578125,25.390625,25.46875
1982-06-04,25.421875,25.421875,25.3125,25.34375
1982-06-07,25.390625,25.453125,25.265625,25.390625
1982-06-08,25.375,25.40625,25.328125,25.359375
1982-06-09,25.34375,25.390625,25.265625,25.375
1982-06-10,25.3125,25.34375,25.234375,25.296875
1982-06-11,25.4375,25.46875,25.40625,25.46875
1982-06-14,25.234375,25.265625,25.03125,25.078125
1982-06-15,25.015625,25.09375,25.0,25.078125
1982-06-16,25.078125,25.09375,24.96875,25.0
1982-06-17,24.8125,24.859375,24.6875,24.78125
1982-06-18,24.765625,24.8125,24.515625,24.515625
1982-06-21,24.53125,24.546875,24.375,24.46875
1982-06-22,24.46875,24.609375,24.4375,24.46875
1982-06-23,24.34375,24.421875,24.234375,24.390625
1982-06-24,24.421875,24.546875,24.296875,24.390625
1982-06-25,24.40625,24.453125,24.3125,24.359375
1982-06-28,24.359375,24.453125,24.296875,24.453125
1982-06-29,24.5,24.546875,24.375,24.53125
1982-06-30,24.671875,24.828125,24.671875,24.78125
1982-07-01,24.84375,24.953125,24.734375,24.84375
1982-07-02,24.75,24.78125,24.640625,24.671875
1982-07-06,24.765625,24.8125,24.671875,24.734375
1982-07-07,24.6875,24.859375,24.640625,24.828125
1982-07-08,24.84375,25.1875,24.84375,25.15625
1982-07-09,25.3125,25.421875,25.265625,25.390625
1982-07-12,25.65625,25.703125,25.5,25.5625
1982-07-13,25.421875,25.4375,25.1875,25.3125
1982-07-14,25.3125,25.34375,25.171875,25.21875
1982-07-15,25.3125,25.453125,25.3125,25.390625
1982-07-16,25.4375,25.8125,25.421875,25.796875
1982-07-19,25.8125,25.921875,25.765625,25.84375
1982-07-20,25.984375,26.046875,25.828125,25.921875
1982-07-21,26.0,26.0,25.78125,25.78125
1982-07-22,25.6875,26.0,25.65625,25.921875
1982-07-23,26.0,26.0,25.78125,25.8125
1982-07-26,25.703125,25.703125,25.390625,25.390625
1982-07-27,25.3125,25.5625,25.296875,25.453125
1982-07-28,25.375,25.46875,25.265625,25.28125
1982-07-29,25.390625,25.65625,25.375,25.59375
1982-07-30,25.703125,25.84375,25.6875,25.78125
1982-08-02,26.125,26.1875,26.015625,26.15625
1982-08-03,26.140625,26.234375,25.96875,25.984375
1982-08-04,26.015625,26.015625,25.796875,25.9375
1982-08-05,25.90625,25.90625,25.75,25.890625
1982-08-06,25.8125,25.8125,25.59375,25.625
1982-08-09,25.5,25.875,25.484375,25.859375
1982-08-10,25.828125,25.921875,25.796875,25.84375
1982-08-11,25.859375,25.890625,25.78125,25.8125
1982-08-12,25.8125,26.078125,25.8125,26.0625
1982-08-13,26.15625,26.4375,26.140625,26.375
1982-08-16,26.640625,26.890625,26.625,26.65625
1982-08-17,26.671875,27.359375,26.671875,27.265625
1982-08-18,27.875,27.984375,27.421875,27.546875
1982-08-19,27.625,27.75,27.296875,27.515625
1982-08-20,27.90625,28.21875,27.8125,27.890625
1982-08-23,27.65625,27.65625,27.515625,27.546875
1982-08-24,27.640625,27.890625,27.515625,27.78125
1982-08-25,27.734375,27.828125,27.5625,27.609375
1982-08-26,27.546875,27.890625,27.40625,27.40625
1982-08-27,27.28125,27.328125,27.03125,27.046875
1982-08-30,27.015625,27.1875,26.890625,27.171875
1982-08-31,27.09375,27.234375,27.03125,27.0625
1982-09-01,27.0,27.28125,27.0,27.203125
1982-09-02,27.28125,27.4375,27.109375,27.421875
1982-09-03,27.53125,27.890625,27.40625,27.609375
1982-09-07,27.65625,27.703125,27.53125,27.546875
1982-09-08,27.515625,27.609375,27.453125,27.59375
1982-09-09,27.5625,27.65625,27.46875,27.53125
1982-09-10,27.375,27.390625,27.140625,27.15625
1982-09-13,27.09375,27.453125,27.0,27.4375
1982-09-14,27.515625,27.609375,27.328125,27.453125
1982-09-15,27.578125,27.6875,27.234375,27.40625
1982-09-16,27.453125,27.453125,27.28125,27.359375
1982-09-17,27.375,27.53125,27.375,27.53125
1982-09-20,27.46875,27.71875,27.390625,27.609375
1982-09-21,27.5625,28.125,27.515625,28.078125
1982-09-22,28.203125,28.34375,28.046875,28.078125
1982-09-23,27.96875,28.265625,27.9375,28.203125
1982-09-24,28.109375,28.125,27.875,28.015625
1982-09-27,27.9375,28.125,27.921875,28.046875
1982-09-28,28.171875,28.3125,28.109375,28.25
1982-09-29,28.265625,28.328125,28.125,28.21875
1982-09-30,28.140625,28.484375,28.125,28.34375
1982-10-01,28.375,28.6875,28.375,28.6875
1982-10-04,28.390625,28.40625,28.125,28.203125
1982-10-05,28.265625,28.328125,28.1875,28.296875
1982-10-06,28.359375,28.65625,28.359375,28.609375
1982-10-07,28.9375,29.328125,28.9375,29.328125
1982-10-08,29.421875,29.8125,29.328125,29.484375
1982-10-11,29.90625,30.21875,29.90625,30.21875
1982-10-12,30.625,30.65625,30.171875,30.171875
1982-10-13,29.890625,30.375,29.78125,30.3125
1982-10-14,30.21875,30.328125,29.921875,29.96875
1982-10-15,30.015625,30.015625,29.59375,29.71875
1982-10-18,29.84375,30.046875,29.796875,30.015625
1982-10-19,30.171875,30.328125,30.03125,30.140625
1982-10-20,30.09375,30.09375,29.78125,29.984375
1982-10-21,30.09375,30.125,29.84375,30.015625
1982-10-22,29.984375,29.984375,29.765625,29.765625
1982-10-25,29.40625,29.53125,29.25,29.3125
1982-10-26,29.390625,29.734375,29.359375,29.65625
