,sharpe,rho,ann_vol,bear_sharpe,normal_sharpe,bull_sharpe,null_bear_sharpe,convexity_premium,cp_se,ann_vol_daily
"Fast LS(5,21)",-0.185,-0.361,0.109,0.274,-0.438,-0.022,0.146,0.128,0.049,0.098
"Medium-Fast LS(10,63)",0.247,-0.284,0.1,0.35,-0.166,0.063,0.178,0.172,0.05,0.096
"Medium LS(20,126)",0.503,-0.231,0.099,0.354,0.091,0.058,0.193,0.161,0.054,0.094
"Slow LS(20,252)",0.633,-0.229,0.102,0.327,0.277,0.029,0.213,0.114,0.06,0.091
"Ultra-Slow LS(20,504)",0.645,-0.148,0.098,0.253,0.346,0.046,0.175,0.078,0.062,0.089
