,"Fast LS(5,21)","Medium-Fast LS(10,63)","Medium LS(20,126)","Slow LS(20,252)"
1959-07-02,0.9855750285595618,0.9855750285595618,0.9855750285595618,0.9855750285595618
1959-07-03,0.9855143640665138,0.9855143640665138,0.9855143640665138,0.9855143640665138
1959-07-06,0.9853324145730352,0.9853324145730352,0.9853324145730352,0.9853324145730352
1959-07-07,0.9852717110214215,0.9852717110214215,0.9852717110214215,0.9852717110214215
1959-07-08,0.9852109019765003,0.9852109019765003,0.9852109019765003,0.9852109019765003
1959-07-09,0.9851494951401898,0.9851494951401898,0.9851494951401898,0.9851494951401898
1959-07-10,0.985088147053167,0.985088147053167,0.985088147053167,0.985088147053167
1959-07-13,0.9849043127957204,0.9849043127957204,0.9849043127957204,0.9849043127957204
1959-07-14,0.9848428714992986,0.9848428714992986,0.9848428714992986,0.9848428714992986
1959-07-15,0.9847812155728753,0.9847812155728753,0.9847812155728753,0.9847812155728753
1959-07-16,0.9847195090798078,0.9847195090798078,0.9847195090798078,0.9847195090798078
1959-07-17,0.9846578613595935,0.9846578613595935,0.9846578613595935,0.9846578613595935
1959-07-20,0.9844736205684755,0.9844736205684755,0.9844736205684755,0.9844736205684755
1959-07-21,0.9844123170356001,0.9844123170356001,0.9844123170356001,0.9844123170356001
1959-07-22,0.9843514546375889,0.9843514546375889,0.9843514546375889,0.9843514546375889
1959-07-23,0.9842911425223043,0.9842911425223043,0.9842911425223043,0.9842911425223043
1959-07-24,0.9842313805480362,0.9842313805480362,0.9842313805480362,0.9842313805480362
1959-07-27,0.9840527911715552,0.9840527911715552,0.9840527911715552,0.9840527911715552
1959-07-28,0.9839931534265954,0.9839931534265954,0.9839931534265954,0.9839931534265954
1959-07-29,0.9839337378508699,0.9839337378508699,0.9839337378508699,0.9839337378508699
1959-07-30,0.9838740529814661,0.9838740529814661,0.9838740529814661,0.9838740529814661
1959-07-31,0.9838144810607546,0.9838144810607546,0.9838144810607546,0.9838144810607546
1959-08-03,0.9836359700360139,0.9836359700360139,0.9836359700360139,0.9836359700360139
1959-08-04,0.9835765222056451,0.9835765222056451,0.9835765222056451,0.9835765222056451
1959-08-05,0.9835171872409891,0.9835171872409891,0.9835171872409891,0.9835171872409891
1959-08-06,0.9834576377000283,0.9834576377000283,0.9834576377000283,0.9834576377000283
1959-08-07,0.9833979827663006,0.9833979827663006,0.9833979827663006,0.9833979827663006
1959-08-10,0.9832193864496754,0.9832193864496754,0.9832193864496754,0.9832193864496754
1959-08-11,0.9831596919564662,0.9831596919564662,0.9831596919564662,0.9831596919564662
1959-08-12,0.9830997830598733,0.9830997830598733,0.9830997830598733,0.9830997830598733
1959-08-13,0.9830390053788383,0.9830390053788383,0.9830390053788383,0.9830390053788383
1959-08-14,0.9829782316499955,0.9829782316499955,0.9829782316499955,0.9829782316499955
1959-08-17,0.9827956282293852,0.9827956282293852,0.9827956282293852,0.9827956282293852
1959-08-18,0.9827342161975252,0.9827342161975252,0.9827342161975252,0.9827342161975252
1959-08-19,0.9826723721880941,0.9826723721880941,0.9826723721880941,0.9826723721880941
