,"Ultra-Slow LS(20,504)"
1959-07-02,0.9855750285595618
1959-07-03,0.9855143640665138
1959-07-06,0.9853324145730352
1959-07-07,0.9852717110214215
1959-07-08,0.9852109019765003
1959-07-09,0.9851494951401898
1959-07-10,0.985088147053167
1959-07-13,0.9849043127957204
1959-07-14,0.9848428714992986
1959-07-15,0.9847812155728753
1959-07-16,0.9847195090798078
1959-07-17,0.9846578613595935
1959-07-20,0.9844736205684755
1959-07-21,0.9844123170356001
1959-07-22,0.9843514546375889
1959-07-23,0.9842911425223043
1959-07-24,0.9842313805480362
1959-07-27,0.9840527911715552
1959-07-28,0.9839931534265954
1959-07-29,0.9839337378508699
1959-07-30,0.9838740529814661
1959-07-31,0.9838144810607546
1959-08-03,0.9836359700360139
1959-08-04,0.9835765222056451
1959-08-05,0.9835171872409891
1959-08-06,0.9834576377000283
1959-08-07,0.9833979827663006
1959-08-10,0.9832193864496754
1959-08-11,0.9831596919564662
1959-08-12,0.9830997830598733
1959-08-13,0.9830390053788383
1959-08-14,0.9829782316499955
1959-08-17,0.9827956282293852
1959-08-18,0.9827342161975252
1959-08-19,0.9826723721880941
1959-08-20,0.9826100963267717
1959-08-21,0.9825477157120508
1959-08-24,0.9823586634548499
1959-08-25,0.9822949927151723
1959-08-26,0.9822314898980344
1959-08-27,0.9821678826466982
1959-08-28,0.9821049333715814
1959-08-31,0.9819153208927096
1959-09-01,0.9818511372382207
1959-09-02,0.9817867405125269
1959-09-03,0.9817218586837995
1959-09-04,0.981657090474064
1959-09-07,0.9814638216875792
1959-09-08,0.9813993987713858
1959-09-09,0.9813345998538775
1959-09-10,0.9812696969547751
1959-09-11,0.9812047988551081
1959-09-14,0.9810101624171573
1959-09-15,0.9809445769849428
1959-09-16,0.9808788334859564
1959-09-17,0.9808131493172051
1959-09-18,0.9807474158015971
1959-09-21,0.9805535324738655
1959-09-22,0.9804893933964882
1959-09-23,0.9804249874612027
1959-09-24,0.98036009758417
1959-09-25,0.9802953753745314
1959-09-28,0.9801007780864386
1959-09-29,0.9800349897507118
1959-09-30,0.9799694234540625
1959-10-01,0.979904187621075
1959-10-02,0.979839065164725
1959-10-05,0.9796460326304205
