,sharpe,rho,bear_sharpe,normal_sharpe,bull_sharpe,null_bear_sharpe,convexity_premium,n_periods,ann_vol_daily,window
"Fast LS(5,21)",-0.185,-0.361,0.274,-0.438,-0.022,0.146,0.128,106.0,0.098,2000Q1-2026Q2
"Medium-Fast LS(10,63)",0.247,-0.284,0.35,-0.166,0.063,0.178,0.172,106.0,0.096,2000Q1-2026Q2
"Medium LS(20,126)",0.503,-0.231,0.354,0.091,0.058,0.193,0.161,106.0,0.094,2000Q1-2026Q2
"Slow LS(20,252)",0.633,-0.229,0.327,0.277,0.029,0.213,0.114,106.0,0.091,2000Q1-2026Q2
"Fast LS(5,21)",0.079,-0.244,0.247,-0.208,0.039,0.131,0.116,246.0,0.096,1965-2026
"Medium-Fast LS(10,63)",0.716,-0.153,0.329,0.19,0.197,0.189,0.14,246.0,0.09,1965-2026
"Medium LS(20,126)",0.804,-0.098,0.284,0.337,0.183,0.176,0.108,246.0,0.09,1965-2026
"Slow LS(20,252)",0.796,-0.106,0.247,0.428,0.121,0.179,0.068,246.0,0.089,1965-2026
