,Balanced,CTA 1,CTA 2,CTA 3,CTA 4,CTA 5,LS 1,LS 2,LS 3,LS 4,LS 5,QIS 1,QIS 2,QIS 3,QIS 4,QIS 5
2017-07-31,0.0172565077024289,0.0143918130101632,0.0530380337150688,0.0339853495916915,0.0462921302159242,0.0044330014783902,0.0221146990829494,0.0058394192391955,,0.0139669551055447,0.030624271244892,-0.0280412736154735,-0.034553666429996,-0.0078186395356192,-0.0075902674785042,0.000955173720698
2017-08-31,0.0042016245036964,-0.002881538999184,0.01702200100349,-0.0031191989611373,0.002459962717862,0.0313164987661296,0.0235059088177747,0.0112321223769813,-0.0008843250986447,0.0236513375902722,0.0153714057903657,0.0034527468449965,0.0057427156772366,-0.0026599798676478,0.0001622756232276,-0.0008977430334526
2017-09-30,0.0107032114779144,-0.0025268205520757,-0.0380382491954595,-0.0033711063946054,-0.0288273271639298,-0.04499905535394,0.0082726285135588,0.0017579568426531,0.0012712641705372,0.0045926226972574,-0.0137888730205192,-0.0114135966021913,-0.0188234574861697,-0.0016535385920008,-0.012493938132691,1.3642864532124416e-05
2017-10-31,0.0133080841600947,0.0199926494019977,0.0577623572407632,0.0466100498865194,0.0221039570277867,0.0823028753474952,0.0240444685861211,0.0169123493523783,0.0027315637530371,0.0027703501563143,0.0266364922020017,-0.019420584394918,-0.0243394207762851,-0.0020676351391677,-0.007523480034432,9.549572262007862e-05
2017-11-30,0.0093564485194792,0.0116406407606652,0.0055401052632868,0.0242124850569684,0.0332183528684899,0.0131694264621553,-0.0029658809402107,-0.0039776363962094,-0.0172072795810268,0.0154815685870139,-0.0091729476072583,0.0094657400286629,-0.0057910563287273,-0.0021614931503619,-0.0009860246783577,-0.001745653574814
2017-12-31,0.009210936835718,-0.0066775893907825,-0.0184198918004009,0.0213744858815527,0.0215666162854957,0.0019733609481147,-0.0142751072730221,0.0022464580168424,0.0039912077636623,0.0503310088547981,-0.0125808952170608,-0.0089651397847486,-0.0081906593994501,-0.0107518760529507,-0.003453244202331,-0.0002743497412956
2018-01-31,0.0286701990255422,0.0340944076272975,0.0640980220660258,0.0561495644418377,0.0514899471881056,0.084376266338829,0.0133194164219796,0.0262918949961474,0.0081426412435623,0.0280409146065763,0.0506085051575226,0.0205283173335496,-0.0101775398725446,-0.0075599801648235,0.0028016144881992,-0.002924490764913
2018-02-28,-0.032810148768301,-0.0458514889643474,-0.0846453723384875,-0.0733882002089539,-0.0338039866675156,-0.1005723956365847,0.0049548246127371,-0.0084436795518622,0.0053464838138266,-0.0300208415957757,-0.0029809853972625,0.0884562958921975,0.0027313775618374,0.0045422061114103,-0.0036191930281312,0.0003188889164482
2018-03-31,-0.005247203658954,-0.0156117642850309,-0.0055423754078427,-0.0161987041996064,-0.0040058010474832,0.0206103935457531,0.0123294587266276,-0.0021632726988416,-0.0178237620322412,0.0030480765150295,-0.004778887834736,0.0187179504874478,-0.0081232640825622,0.0039362790986904,-0.0077496868894947,-0.008919438491047
2018-04-30,-0.0023384773401013,-0.0338079254317162,-0.0176162090134603,0.027911522197173,-0.0089029320415139,0.0295927353897444,-0.0104809835571457,0.0003891166462539,-0.0089493283778928,0.0584609092510073,-8.589433939198976e-05,-0.0263244574855237,-0.035104360947011,-0.0259842621464369,-0.0339686519851273,-0.0015843121796195
2018-05-31,0.0026156023507473,-0.016905666522013,-0.0011472496444837,-0.0341230044424492,0.0013846140804496,-0.0988513498145194,0.0046054814547078,0.0111887377865751,0.0179215596310418,0.0061353004193751,0.016472582294555,-0.0168539779517348,0.0018687816536406,0.0045120100532264,-0.0120235822471379,-0.0014635592051516
2018-06-30,-0.0052679909535092,-0.0030108400066137,0.013647332800289,0.0043477873908484,-0.0010330608944257,0.0174914691019083,-0.0216048915842187,-0.0041518503324157,0.0134501081689355,0.0022744034728845,-0.0064178107017617,-0.0008099425080158,0.0011333500168962,0.0090951264337501,-0.0027303439563364,-0.0014562927759743
2018-07-31,0.0177939460363791,0.0001457444536467,-0.025915023960858,0.0021898883932194,-0.0039156081206017,-0.0097504279699905,-0.0100612584912346,0.0016888512094364,-0.0078103638057422,-0.0007087415038125,-0.0083349297826108,-0.0211843231891875,-0.027519849437029,-0.0134416970708101,-0.0128206707853851,0.0007099537570168
2018-08-31,0.0044738479575354,0.0261309014739834,0.0399068997679834,0.0113324473208695,-0.0014575956099318,0.0297304269122873,-8.924318706005074e-05,0.0014119057919133,0.0060085060208521,-0.0158646044797859,0.0058304832482094,-0.0017481329989724,0.0010624128394641,0.0013727741883417,-0.0013787402011927,-0.0025006721963285
2018-09-30,-0.001435268501714,-0.0239092990250844,-0.0542029026059079,0.0115458623094826,-0.0159007338943678,-0.0114244096182161,-0.0023594713684638,0.0016639547858674,0.0074153605281499,0.0448517440333009,0.002665743614503,-0.0115803111293878,-0.0117278583526129,-0.0252227868147023,-0.0098321146846433,0.0003935484387699
2018-10-31,-0.05127170697446,-0.0116786968946659,0.0078005407903494,-0.0600142795124815,-0.0254566487264922,-0.0954354815564839,-0.0150196074093167,-0.0179475233618787,-0.0093366616248029,-0.0681687143364327,-0.0653276626898955,0.0445184624913389,0.0252000209227922,0.0050994429343104,0.008158013808433,-0.0159688449133939
2018-11-30,0.0093526689663918,-0.0185056529110129,-0.0329671368918342,-0.0286593351344871,-0.0138684276700578,-0.0222016494624758,-0.0290634609072333,-0.006324011302112,0.021627677576486,-0.0475892256339133,-0.000408734840112,-0.0051372465154812,-0.0105347438343594,-0.000968948288109,-0.0105336022954888,-0.0114525321444603
2018-12-31,-0.0398119659887736,0.0111231058504059,0.0709732376285396,0.0203956991675202,-0.0265853590512069,-0.0111393478820307,0.0234538380923947,-0.0134575981909546,-0.0051973814617245,-0.074578146119756,-0.0445098894588924,0.0376460836529195,0.0568035415138134,0.0314219008651158,0.0142550830827088,-0.0536471040693319
2019-01-31,0.0492055237762663,-0.0186689131491538,-0.0086683643830193,-0.0160763957904039,-0.0075802925505313,-0.0106565293806658,-0.0196668907306312,0.0161538767460329,0.0092060724082081,0.0853701388548981,0.053183232043988,-0.033664080428119,-0.0527871855535255,-0.0441272403138277,-0.0260151973141224,-0.0007973418996628
2019-02-28,0.0145328194871265,-0.001236492477296,-0.0150948211089463,0.0076910991545899,0.0021357899417415,0.0383208187331112,-0.0103612906958403,0.0054242073389318,0.0018972786839637,-0.0295525806816279,0.0377708695747758,-0.0221234759785708,-0.011172880770601,-0.0037172680461462,-0.0150649713346811,0.0017159141821207
2019-03-31,0.0132907327771003,0.0322064037285665,0.0847222079735061,0.0477404609090277,0.0583738024010547,0.0418305219099144,-0.0026878159455318,0.0074065908208293,0.0051878426484286,0.001225304738931,0.0236132564995259,-0.0025198510307401,-0.0080357789172573,-0.0008969898860969,-0.0056596033544592,-0.0035674798713708
2019-04-30,0.0191957310173276,0.0122978112976632,0.0238519032756954,0.0073631672257725,0.0251951374104877,0.0459092618715155,-0.0358964531216485,0.0081890006234499,0.011217989359191,0.0039608456508888,0.0251783680852284,-0.0103636913286685,-0.0159725416271646,-0.0062234395902467,-0.0003549984612522,0.0005886320551197
2019-05-31,-0.0324670295405575,0.0143327437461475,0.0054417352800726,0.0084934578797413,0.0029061072285387,-0.0348187067950669,0.0076125022154835,-0.0094074274792265,-0.0067587230580563,-0.0176707834700678,-0.0318894983151771,0.0209208842940944,0.0198456051478682,0.0650857609071719,-0.0213047006336435,-0.004288625765774
2019-06-30,0.0410173465348171,0.0069431599980971,0.0355533502844276,0.0150533857895385,0.0465269620028454,0.0493952021269288,0.0041453332951582,0.0151819164066644,0.0105992279634388,0.0413693553106349,0.0345884986603759,-0.0187123676170426,-0.02462014734298,-0.0272237092522273,0.0025195659493284,-0.0013707445020319
2019-07-31,-0.0007144361756825,0.0286221561405051,0.0827447690252578,0.0186748432532246,0.0234961381556702,0.0413816023822615,-0.0190858156641117,0.0030370051323338,0.0099478957956098,-0.0107546630647787,0.0126987377000375,-0.0045818424921867,-0.0096963991605537,-0.0078158437272918,-0.0021561851426988,-0.0002993514078722
2019-08-31,-0.0034750336856133,0.0156121892207052,0.0335079497675818,0.0419160323876399,0.0281575677606409,0.069162218148199,-0.0170788394760771,-0.0005414370881779,-0.0011919903387997,-0.0706547310111357,0.0116298688146336,0.034606461163802,0.0350718050968833,0.0474414088893382,0.0097161095386909,-0.0028167049962632
2019-09-30,0.0100192537769259,-0.021001412630874,-0.0397549274176156,-0.0383192664991985,-0.0116852497265365,-0.0404411435515531,-0.0104772178600857,-0.0059828236389523,0.0032268360904053,-0.0023223822373351,-0.0310915074888237,-0.0108388899960598,-0.0143537828960971,-0.0691771207874292,-0.0062589398922575,-0.0002016536777769
2019-10-31,0.0165234223440526,-0.036228960816512,-0.0632498210879047,-0.0327967865530783,-0.0278685737228695,-0.036461015223661,-0.0143084912776045,0.0014070486777144,0.0026106814602946,0.0377529116570258,0.0222768758358209,-0.0150134795457601,-0.0166321919711168,-0.0255409833678093,-0.0219037564628917,0.0014125222214024
