,Balanced,MAN AHL,Aspect,Metori,AQR,Dunn,BSF Event Driven,Jupiter GEAR,Ardtur,Schroder Egerton,HSBC GH,QIS Calendar Put Ratio,QIS US 1Y Vol,QIS EU 1Y Vol,QIS XA Proxy Put,QIS US Tail Hedge
2017-07-31,0.0172565077024289,0.0530380337150688,0.0044330014783902,0.0462921302159242,0.0143918130101632,0.0339853495916915,,0.0221146990829494,0.0139669551055447,0.030624271244892,0.0058394192391955,-0.007590267478504289,-0.02804127361547359,-0.03455366642999609,-0.007818639535619244,0.0009551737206980198
2017-08-31,0.0042016245036964,0.01702200100349,0.0313164987661296,0.002459962717862,-0.002881538999184,-0.0031191989611373,-0.0008843250986447,0.0235059088177747,0.0236513375902722,0.0153714057903657,0.0112321223769813,0.00016227562322769788,0.0034527468449965398,0.00574271567723661,-0.002659979867647859,-0.0008977430334526145
2017-09-30,0.0107032114779144,-0.0380382491954595,-0.04499905535394,-0.0288273271639298,-0.0025268205520757,-0.0033711063946054,0.0012712641705372,0.0082726285135588,0.0045926226972574,-0.0137888730205192,0.0017579568426531,-0.012493938132691021,-0.011413596602191323,-0.018823457486169756,-0.0016535385920008925,1.3642864532124415e-05
2017-10-31,0.0133080841600947,0.0577623572407632,0.0823028753474952,0.0221039570277867,0.0199926494019977,0.0466100498865194,0.0027315637530371,0.0240444685861211,0.0027703501563143,0.0266364922020017,0.0169123493523783,-0.00752348003443205,-0.019420584394918,-0.024339420776285155,-0.0020676351391677623,9.549572262007862e-05
2017-11-30,0.0093564485194792,0.0055401052632868,0.0131694264621553,0.0332183528684899,0.0116406407606652,0.0242124850569684,-0.0172072795810268,-0.0029658809402107,0.0154815685870139,-0.0091729476072583,-0.0039776363962094,-0.0009860246783577333,0.00946574002866294,-0.005791056328727353,-0.002161493150361973,-0.001745653574814021
2017-12-31,0.009210936835718,-0.0184198918004009,0.0019733609481147,0.0215666162854957,-0.0066775893907825,0.0213744858815527,0.0039912077636623,-0.0142751072730221,0.0503310088547981,-0.0125808952170608,0.0022464580168424,-0.0034532442023310537,-0.008965139784748674,-0.008190659399450129,-0.010751876052950754,-0.00027434974129561583
2018-01-31,0.0286701990255422,0.0640980220660258,0.084376266338829,0.0514899471881056,0.0340944076272975,0.0561495644418377,0.0081426412435623,0.0133194164219796,0.0280409146065763,0.0506085051575226,0.0262918949961474,0.0028016144881992527,0.02052831733354965,-0.010177539872544659,-0.007559980164823552,-0.002924490764913082
2018-02-28,-0.032810148768301,-0.0846453723384875,-0.1005723956365847,-0.0338039866675156,-0.0458514889643474,-0.0733882002089539,0.0053464838138266,0.0049548246127371,-0.0300208415957757,-0.0029809853972625,-0.0084436795518622,-0.003619193028131283,0.08845629589219754,0.0027313775618374022,0.004542206111410367,0.00031888891644829955
2018-03-31,-0.005247203658954,-0.0055423754078427,0.0206103935457531,-0.0040058010474832,-0.0156117642850309,-0.0161987041996064,-0.0178237620322412,0.0123294587266276,0.0030480765150295,-0.004778887834736,-0.0021632726988416,-0.007749686889494707,0.01871795048744788,-0.00812326408256229,0.00393627909869044,-0.008919438491047075
2018-04-30,-0.0023384773401013,-0.0176162090134603,0.0295927353897444,-0.0089029320415139,-0.0338079254317162,0.027911522197173,-0.0089493283778928,-0.0104809835571457,0.0584609092510073,-8.589433939198976e-05,0.0003891166462539,-0.03396865198512737,-0.0263244574855237,-0.03510436094701103,-0.025984262146436943,-0.0015843121796195764
2018-05-31,0.0026156023507473,-0.0011472496444837,-0.0988513498145194,0.0013846140804496,-0.016905666522013,-0.0341230044424492,0.0179215596310418,0.0046054814547078,0.0061353004193751,0.016472582294555,0.0111887377865751,-0.012023582247137943,-0.01685397795173489,0.0018687816536406675,0.0045120100532264175,-0.0014635592051516681
2018-06-30,-0.0052679909535092,0.013647332800289,0.0174914691019083,-0.0010330608944257,-0.0030108400066137,0.0043477873908484,0.0134501081689355,-0.0216048915842187,0.0022744034728845,-0.0064178107017617,-0.0041518503324157,-0.0027303439563364515,-0.0008099425080158924,0.001133350016896241,0.00909512643375017,-0.00145629277597434
