,Balanced,MAN AHL,Aspect,Metori,AQR,Dunn,BSF Event Driven,Jupiter GEAR,Ardtur,Schroder Egerton,HSBC GH
2017-07-31,0.017256507702428925,0.05303803371506888,0.004433001478390208,0.046292130215924265,0.014391813010163235,0.03398534959169153,,0.022114699082949496,0.013966955105544798,0.030624271244892087,0.005839419239195509
2017-08-31,0.004201624503696433,0.01702200100349005,0.03131649876612963,0.0024599627178620853,-0.0028815389991840856,-0.003119198961137326,-0.0008843250986447782,0.0235059088177747,0.02365133759027227,0.015371405790365777,0.011232122376981346
2017-09-30,0.01070321147791442,-0.038038249195459506,-0.04499905535394,-0.028827327163929883,-0.002526820552075759,-0.003371106394605472,0.0012712641705372452,0.00827262851355881,0.004592622697257465,-0.013788873020519232,0.001757956842653119
2017-10-31,0.013308084160094769,0.057762357240763285,0.08230287534749525,0.02210395702778678,0.019992649401997742,0.0466100498865194,0.0027315637530371806,0.024044468586121193,0.0027703501563143274,0.026636492202001705,0.016912349352378397
2017-11-30,0.009356448519479255,0.005540105263286854,0.013169426462155354,0.03321835286848995,0.011640640760665288,0.02421248505696849,-0.017207279581026858,-0.0029658809402107744,0.015481568587013994,-0.009172947607258397,-0.003977636396209405
2017-12-31,0.009210936835718053,-0.018419891800400934,0.001973360948114733,0.02156661628549572,-0.006677589390782557,0.021374485881552774,0.003991207763662352,-0.01427510727302217,0.05033100885479813,-0.01258089521706085,0.002246458016842423
2018-01-31,0.028670199025542242,0.06409802206602588,0.084376266338829,0.05148994718810562,0.03409440762729754,0.05614956444183772,0.008142641243562343,0.013319416421979646,0.028040914606576317,0.05060850515752269,0.02629189499614748
2018-02-28,-0.03281014876830102,-0.08464537233848757,-0.10057239563658471,-0.033803986667515606,-0.04585148896434743,-0.07338820020895398,0.00534648381382663,0.004954824612737108,-0.030020841595775782,-0.0029809853972625477,-0.008443679551862204
2018-03-31,-0.005247203658954036,-0.005542375407842748,0.020610393545753114,-0.004005801047483271,-0.015611764285030971,-0.01619870419960645,-0.01782376203224123,0.012329458726627607,0.003048076515029585,-0.004778887834736012,-0.002163272698841645
2018-04-30,-0.002338477340101397,-0.017616209013460393,0.029592735389744496,-0.008902932041513933,-0.03380792543171629,0.027911522197173078,-0.008949328377892862,-0.010480983557145773,0.05846090925100733,-8.589433939198976e-05,0.0003891166462539619
2018-05-31,0.0026156023507473147,-0.001147249644483761,-0.09885134981451948,0.0013846140804496532,-0.016905666522013085,-0.0341230044424492,0.017921559631041806,0.004605481454707849,0.006135300419375156,0.01647258229455506,0.011188737786575143
2018-06-30,-0.005267990953509272,0.01364733280028907,0.017491469101908352,-0.0010330608944257857,-0.0030108400066137797,0.004347787390848401,0.013450108168935548,-0.021604891584218744,0.0022744034728845453,-0.006417810701761728,-0.0041518503324157185
2018-07-31,0.017793946036379182,-0.025915023960858097,-0.009750427969990594,-0.003915608120601766,0.00014574445364679,0.00218988839321943,-0.007810363805742293,-0.010061258491234626,-0.0007087415038125044,-0.008334929782610856,0.0016888512094364039
2018-08-31,0.004473847957535471,0.03990689976798345,0.029730426912287333,-0.001457595609931861,0.026130901473983448,0.011332447320869576,0.006008506020852122,-8.924318706005074e-05,-0.015864604479785993,0.00583048324820945,0.0014119057919133038
2018-09-30,-0.0014352685017140487,-0.05420290260590799,-0.011424409618216114,-0.015900733894367858,-0.02390929902508443,0.011545862309482624,0.00741536052814995,-0.002359471368463817,0.044851744033300944,0.0026657436145030022,0.0016639547858674497
2018-10-31,-0.05127170697446004,0.0078005407903494195,-0.09543548155648396,-0.025456648726492226,-0.01167869689466594,-0.060014279512481505,-0.009336661624802955,-0.015019607409316738,-0.06816871433643279,-0.06532766268989554,-0.01794752336187877
2018-11-30,0.009352668966391864,-0.03296713689183428,-0.022201649462475825,-0.013868427670057804,-0.018505652911012915,-0.02865933513448715,0.021627677576486093,-0.02906346090723333,-0.047589225633913323,-0.0004087348401120572,-0.00632401130211202
2018-12-31,-0.03981196598877368,0.07097323762853969,-0.011139347882030748,-0.026585359051206958,0.01112310585040599,0.020395699167520265,-0.005197381461724548,0.023453838092394763,-0.074578146119756,-0.04450988945889245,-0.0134575981909546
2019-01-31,0.0492055237762663,-0.008668364383019322,-0.010656529380665858,-0.007580292550531387,-0.018668913149153865,-0.016076395790403986,0.009206072408208144,-0.019666890730631215,0.08537013885489819,0.053183232043988005,0.01615387674603297
2019-02-28,0.014532819487126591,-0.015094821108946332,0.03832081873311122,0.0021357899417415727,-0.0012364924772960695,0.0076910991545899865,0.0018972786839637212,-0.010361290695840353,-0.029552580681627916,0.03777086957477582,0.005424207338931897
2019-03-31,0.013290732777100356,0.08472220797350616,0.04183052190991443,0.05837380240105472,0.032206403728566535,0.04774046090902773,0.005187842648428642,-0.002687815945531802,0.00122530473893101,0.023613256499525948,0.007406590820829395
2019-04-30,0.019195731017327633,0.02385190327569542,0.04590926187151556,0.025195137410487733,0.012297811297663275,0.007363167225772571,0.01121798935919105,-0.035896453121648575,0.0039608456508888334,0.025178368085228442,0.00818900062344996
2019-05-31,-0.03246702954055758,0.005441735280072635,-0.034818706795066934,0.00290610722853879,0.01433274374614757,0.008493457879741317,-0.0067587230580563595,0.007612502215483596,-0.017670783470067897,-0.03188949831517718,-0.009407427479226516
2019-06-30,0.041017346534817145,0.03555335028442763,0.04939520212692883,0.04652696200284545,0.006943159998097137,0.01505338578953852,0.010599227963438818,0.0041453332951582045,0.0413693553106349,0.034588498660375944,0.015181916406664442
2019-07-31,-0.0007144361756825646,0.08274476902525785,0.04138160238226152,0.0234961381556702,0.028622156140505117,0.01867484325322466,0.00994789579560984,-0.019085815664111716,-0.010754663064778791,0.012698737700037599,0.0030370051323338476
2019-08-31,-0.0034750336856133046,0.03350794976758187,0.069162218148199,0.028157567760640934,0.015612189220705286,0.04191603238763997,-0.0011919903387997977,-0.017078839476077134,-0.07065473101113573,0.011629868814633681,-0.0005414370881779984
